user_id,email,role,account_status,email_verified,last_login,fleet_manager_id,manager_key_used,manager_email,vehicle_id,vin,registration_number,vehicle_make,vehicle_model,car_type,manufacture_year,vehicle_weight_kg,vehicle_status,insurance_expiry,battery_capacity_kwh,battery_percentage,battery_health_percent,battery_temperature,battery_voltage,charging_cycles,battery_age_months,battery_alert_flag,alert_threshold_percent,motor_speed_rpm,motor_temperature,motor_efficiency,latitude,longitude,speed_kmph,acceleration,distance_travelled_km,trip_duration_min,remaining_range_km,load_weight_kg,start_location,start_latitude,start_longitude,destination,destination_latitude,destination_longitude,route_distance_km,eta_minutes,road_type,traffic_level,weather_condition,charging_stops_en_route,charging_status,charging_station_id,charging_duration_min,charging_cost_rs,energy_consumed_kwh,charger_type,driver_id,driver_income,driver_experience_years,driver_score,harsh_braking_count,sudden_acceleration_count,overspeed_count,cost_per_km,daily_energy_cost,monthly_energy_cost,total_trip_cost,tire_health_percent,last_service_days,maintenance_cost_rs,maintenance_alert,timestamp,day_of_week,month
USR0011,driver011@fleetev.in,Driver,Active,True,2022-12-05 17:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00011,IN72820592,MH77EV5119,Mahindra,Mahindra BE 6e,Crossover,2024,1980,Charging,2023-11-14,59,61.5,75.1,28.5,358.9,1168,69,True,20,6918,62.8,91.9,26.660033,75.615147,39.8,2.85,215.9,81,235.9,371.5,Jaipur,26.9124,75.7873,Nagpur,21.1458,79.0882,295.4,47,Rural,Medium,Clear,3,Fully Charged,CS0365,108,238.5,6.19,AC Level 1,DR0011,59973,18,93.3,15,6,14,0.24,60.09,1562.34,51.82,70.1,286,4151.56,Brake Inspection,2023-01-01 17:00:00,Sunday,January
USR0012,driver012@fleetev.in,Driver,Inactive,True,2022-12-04 19:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00012,IN55657579,MH24EV5808,Volvo,Volvo XC40 Recharge,SUV,2022,2040,Active,2023-07-23,78,33.7,87.5,30.6,375.2,1012,54,False,20,6748,39,93.6,28.326543,77.182356,67.9,-0.42,290.6,272,170.9,438.5,Delhi,28.6139,77.209,Nagpur,21.1458,79.0882,375.8,228,Rural,Low,Hot,1,Charging,CS0210,28,28.15,40.99,AC Level 1,DR0012,90612,9,47.1,9,11,9,1.29,291.52,7579.52,374.87,57.1,301,3374.06,Tire Check,2023-01-01 19:00:00,Sunday,January
USR0013,driver013@fleetev.in,Driver,Active,True,2022-12-10 20:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00013,IN78139880,MH23EV5889,Tata,Tata Tigor EV,Sedan,2020,1255,Idle,2024-08-05,26,35.5,79.6,38.5,340.2,1131,45,True,20,553,77.9,92.6,21.25151,79.350151,80.2,0.66,270.6,203,60,263.9,Nagpur,21.1458,79.0882,Kochi,9.9312,76.2673,257.3,48,Mixed,Medium,Foggy,3,Fast Charging,CS0444,83,79,15.37,Super Charger,DR0013,95697,6,54,12,10,1,0.67,162.31,4220.06,181.3,86.8,330,708.24,Motor Check,2023-01-01 20:00:00,Sunday,January
USR0014,driver014@fleetev.in,Driver,Active,True,2022-12-30 22:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00014,IN10076758,MH86EV6310,Mahindra,Mahindra XEV 9e,SUV,2019,2100,Charging,2024-07-25,79,12.2,90.8,39.3,364.7,263,72,True,20,697,40.6,94.8,26.431064,75.945554,80.8,-4.47,173.2,106,62.6,387.8,Jaipur,26.9124,75.7873,Chandigarh,30.7333,76.7794,270.6,72,Highway,Medium,Cloudy,2,Fast Charging,CS0425,180,400.71,42.05,AC Level 1,DR0014,56385,10,64.1,1,15,0,2.27,324.71,8442.46,393.16,51.2,270,2539.06,Tire Check,2023-01-01 22:00:00,Sunday,January
USR0015,driver015@fleetev.in,Driver,Active,False,2022-12-12 23:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00015,IN42329237,MH82EV2290,Tata,Tata Nexon EV,SUV,2019,1570,Active,2023-11-25,30.2,20.3,77.5,24.2,351.5,533,12,True,20,1263,46.9,92.5,16.983744,78.129161,23.7,1.14,101,23,39.8,371,Hyderabad,17.385,78.4867,Kolkata,22.5726,88.3639,447.6,23,Rural,Medium,Clear,3,Not Charging,CS0104,0,0,17.03,AC Level 2,DR0015,111474,5,70.5,16,12,3,1.53,140.9,3663.4,154.53,77.7,33,3873.37,Brake Inspection,2023-01-01 23:00:00,Sunday,January
USR0016,driver016@fleetev.in,Driver,Active,False,2022-12-24 01:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00016,IN83793389,MH31EV5342,BYD,BYD Atto 3,SUV,2020,1750,Idle,2024-02-10,60.5,31,97.2,26.7,417.1,217,32,False,20,6250,60.5,96.6,13.01204,77.262788,42.6,-0.93,29.8,266,121.9,141.6,Bangalore,12.9716,77.5946,Pune,18.5204,73.8567,130.1,20,Mixed,High,Foggy,0,Fast Charging,CS0001,118,287.2,34.56,AC Level 2,DR0016,77296,10,43.6,15,8,8,13.17,294.47,7656.22,392.47,67.6,323,1702.03,Software Update,2023-01-02 01:00:00,Monday,January
USR0017,driver017@fleetev.in,Driver,Active,False,2022-12-16 05:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00017,IN97225156,MH57EV8177,Volvo,Volvo XC40 Recharge,SUV,2019,2040,Idle,2024-03-29,78,14.1,93.5,34.1,364.1,819,16,True,20,6803,37.7,94.1,18.281761,74.109394,39.1,-0.68,185.1,172,71.5,447.8,Pune,18.5204,73.8567,Lucknow,26.8467,80.9462,231.8,97,Urban,High,Rainy,0,Fully Charged,CS0108,117,284.34,24.4,AC Level 2,DR0017,33392,8,76.5,0,0,5,1.27,258.18,6712.68,235.08,85.2,201,4305.05,Battery Service,2023-01-02 05:00:00,Monday,January
USR0018,driver018@fleetev.in,Driver,Active,True,2022-12-07 11:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00018,IN12823170,MH85EV4770,Kia,Kia EV6,Crossover,2019,1960,Active,2023-09-30,77.4,12.8,95.8,36.8,393.8,732,49,True,20,6778,63.1,92.3,30.677878,76.500921,117.5,3.12,295.2,73,64.4,258.2,Chandigarh,30.7333,76.7794,Chennai,13.0827,80.2707,19.7,59,Rural,High,Rainy,1,Charging,CS0047,157,292.48,56.7,AC Level 2,DR0018,55007,2,98.8,11,1,8,1.92,556.58,14471.08,566.78,80.3,3,1568.69,None,2023-01-02 11:00:00,Monday,January
USR0019,driver019@fleetev.in,Driver,Active,True,2022-12-19 16:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00019,IN14216175,MH52EV2160,Tata,Tata Tiago EV,Hatchback,2021,1205,Idle,2024-11-28,24,67.5,77.8,26.9,380,359,71,True,20,1587,66.3,94.2,13.405163,77.950079,95.5,0.65,24.3,75,105.3,385.7,Bangalore,12.9716,77.5946,Hyderabad,17.385,78.4867,441.7,187,Rural,Low,Clear,0,Charging,CS0348,136,250.86,15.34,Super Charger,DR0019,95678,7,96.3,20,20,1,7.21,127.2,3307.2,175.2,92.2,208,2192.28,Software Update,2023-01-02 16:00:00,Monday,January
USR0020,driver020@fleetev.in,Driver,Active,False,2022-12-03 16:00:00,MGR001,MGRKEY001754,manager01@fleetev.in,VH00020,IN86644106,MH83EV8744,Tata,Tata Tigor EV,Sedan,2022,1255,Charging,2024-01-30,26,54.6,87.9,21.1,397.7,106,36,False,20,7523,53.1,92.9,13.00652,79.84514,0.7,-3.05,29.1,22,92.3,495.6,Chennai,13.0827,80.2707,Nagpur,21.1458,79.0882,132.5,26,Urban,Medium,Rainy,2,Fast Charging,CS0321,160,154.31,12.27,AC Level 1,DR0020,37704,4,90.4,7,3,15,3.78,102.62,2668.12,110,52.7,170,4157.4,Motor Check,2023-01-02 16:00:00,Monday,January
USR0021,driver021@fleetev.in,Driver,Active,False,2022-12-13 18:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00021,IN67854710,MH55EV7939,Volvo,Volvo XC40 Recharge,SUV,2024,2040,Idle,2023-09-13,78,16.6,90,31,347.7,924,16,True,20,700,83.6,98.1,22.814689,77.523339,52.8,3.9,209.5,75,84.2,77.9,Bhopal,23.2599,77.4126,Ahmedabad,23.0225,72.5714,221.6,153,Highway,High,Clear,3,Not Charging,CS0027,0,0,28.02,AC Level 1,DR0021,32944,4,54,19,19,0,1.31,248.17,6452.42,274.44,71.4,317,4953.84,Tire Check,2023-01-02 18:00:00,Monday,January
USR0022,driver022@fleetev.in,Driver,Active,True,2023-01-01 20:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00022,IN55540424,MH23EV5073,BYD,BYD Seal,Sedan,2023,1885,Active,2024-10-21,82.5,94.4,94.6,31.4,366.3,404,14,False,20,841,30.7,95.8,17.306007,78.711323,83,3.41,271.8,74,506.2,336.8,Hyderabad,17.385,78.4867,Pune,18.5204,73.8567,227.9,25,Urban,Low,Clear,2,Not Charging,CS0066,0,0,33.49,DC Fast Charger,DR0022,80296,5,75,17,4,4,1.22,315.25,8196.5,331.6,64.6,4,4141.44,Motor Check,2023-01-02 20:00:00,Monday,January
USR0023,driver023@fleetev.in,Driver,Active,False,2022-12-22 01:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00023,IN47385696,MH69EV5092,Tata,Tata Tigor EV,Sedan,2023,1255,Charging,2023-10-28,26,31.4,95.5,34,344.4,714,26,False,20,7999,41,98,18.598811,74.319765,109.9,-1.58,202,249,53.1,319.9,Pune,18.5204,73.8567,Kochi,9.9312,76.2673,311.9,36,Mixed,Medium,Cloudy,1,Not Charging,CS0233,0,0,21.49,Super Charger,DR0023,110477,2,95.2,20,7,7,1.05,168.75,4387.5,212.1,74,169,6458.17,None,2023-01-03 01:00:00,Tuesday,January
USR0024,driver024@fleetev.in,Driver,Active,False,2022-12-04 02:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00024,IN11980765,MH21EV4872,Mahindra,Mahindra XEV 9e,SUV,2022,2100,Active,2024-11-23,79,28.5,79.6,44.7,369,161,46,True,20,245,60.5,89.6,18.773825,72.551847,61.7,1.31,274.2,194,146.3,69.8,Mumbai,19.076,72.8777,Chennai,13.0827,80.2707,443.8,72,Urban,Medium,Hot,0,Charging,CS0092,50,41.83,60.24,AC Level 1,DR0024,77565,7,89.9,4,12,3,2.05,472.34,12280.84,562.11,72.8,189,6475.9,Motor Check,2023-01-03 02:00:00,Tuesday,January
USR0025,driver025@fleetev.in,Driver,Active,True,2022-12-20 06:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00025,IN32097220,MH58EV1035,Tata,Tata Nexon EV,SUV,2022,1570,Active,2024-05-07,30.2,57.4,95,35.6,374.7,143,16,False,20,1183,78.5,89.4,27.267714,81.209282,26.5,0.33,209.8,172,112.7,319.8,Lucknow,26.8467,80.9462,Chennai,13.0827,80.2707,297.8,73,Rural,Low,Rainy,1,Charging,CS0028,161,346.56,23.98,Super Charger,DR0025,116303,14,83.6,15,19,2,0.99,205.09,5332.34,207.7,94.1,260,2994.13,Software Update,2023-01-03 06:00:00,Tuesday,January
USR0026,driver026@fleetev.in,Driver,Active,True,2023-01-03 08:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00026,IN84593961,MH94EV8973,BMW,BMW i4,Sedan,2021,2050,Active,2024-02-27,83.9,26.1,92.8,33.1,378.7,1023,61,False,20,2198,62,95,12.801294,80.195723,110.7,1.5,66.1,113,142.3,253.4,Chennai,13.0827,80.2707,Kolkata,22.5726,88.3639,194.8,150,Urban,Medium,Rainy,2,Not Charging,CS0044,0,0,8.18,Super Charger,DR0026,100914,2,53.8,1,14,10,1.2,72.56,1886.56,79.32,70.4,254,2536.16,Brake Inspection,2023-01-03 08:00:00,Tuesday,January
USR0027,driver027@fleetev.in,Driver,Active,True,2022-12-18 09:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00027,IN82772208,MH17EV6138,BMW,BMW i4,Sedan,2023,2050,Idle,2024-11-19,83.9,26.2,80.8,36.1,368.7,178,38,False,20,6902,57.6,94,18.776307,72.574346,10.9,-2.24,72.2,70,142.9,82.1,Mumbai,19.076,72.8777,Jaipur,26.9124,75.7873,171.3,58,Rural,High,Rainy,0,Not Charging,CS0362,0,0,12.13,DC Fast Charger,DR0027,94615,17,86.2,9,11,12,1.98,124.79,3244.54,142.96,87.9,6,3776.03,None,2023-01-03 09:00:00,Tuesday,January
USR0028,driver028@fleetev.in,Driver,Active,True,2022-12-16 12:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00028,IN17634247,MH75EV2312,Tata,Tata Tigor EV,Sedan,2023,1255,Active,2023-09-27,26,99,98.8,41.6,358.2,439,61,False,20,1914,58.4,96.6,13.352831,80.468641,106.1,2.23,141.1,53,167.3,190.9,Chennai,13.0827,80.2707,Kolkata,22.5726,88.3639,112.7,105,Mixed,High,Clear,3,Charging,CS0072,147,335.95,8.54,AC Level 1,DR0028,77923,8,88.6,11,10,7,0.59,83.21,2163.46,83.25,70.2,353,4300.83,Tire Check,2023-01-03 12:00:00,Tuesday,January
USR0029,driver029@fleetev.in,Driver,Active,True,2022-12-30 14:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00029,IN86460539,MH41EV1651,Tata,Tata Tiago EV,Hatchback,2022,1205,Idle,2024-06-07,24,12.1,94.6,43.1,352.3,686,51,True,20,3123,41.2,92.3,17.056424,78.661586,74.8,-3.12,37,241,18.9,337.6,Hyderabad,17.385,78.4867,Delhi,28.6139,77.209,97,60,Mixed,Low,Cloudy,1,Not Charging,CS0036,0,0,9.56,AC Level 2,DR0029,51772,9,57.5,16,2,14,2.13,86.75,2255.5,78.81,58.6,210,3128.84,Battery Service,2023-01-03 14:00:00,Tuesday,January
USR0030,driver030@fleetev.in,Driver,Active,True,2022-12-22 19:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00030,IN52169044,MH40EV5351,Volvo,Volvo XC40 Recharge,SUV,2024,2040,Charging,2024-05-22,78,58.3,87,21.7,416.4,432,17,False,20,7130,41.3,92.8,27.097236,75.562741,99.4,-0.25,183.1,168,295.6,314.4,Jaipur,26.9124,75.7873,Nagpur,21.1458,79.0882,13.6,221,Urban,Medium,Clear,3,Not Charging,CS0205,0,0,18.83,DC Fast Charger,DR0030,66441,15,67.6,18,1,2,0.94,198.17,5152.42,172.11,72.8,358,6741.12,Tire Check,2023-01-03 19:00:00,Tuesday,January
USR0031,driver031@fleetev.in,Driver,Active,True,2022-12-22 19:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00031,IN11250299,MH68EV2638,Tata,Tata Tiago EV,Hatchback,2023,1205,Active,2024-04-16,24,65.2,95.2,24.4,359.9,894,59,False,20,3151,80.1,90,13.354156,77.632338,79.6,-1.06,284,132,101.7,448.5,Bangalore,12.9716,77.5946,Hyderabad,17.385,78.4867,336.7,136,Highway,High,Cloudy,2,Charging,CS0211,141,141.86,9.23,AC Level 1,DR0031,70745,5,64.6,5,8,6,0.33,81.67,2123.42,93.72,53.7,355,5404.98,Brake Inspection,2023-01-03 19:00:00,Tuesday,January
USR0032,driver032@fleetev.in,Driver,Active,False,2022-12-12 19:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00032,IN42787299,MH57EV5669,Tata,Tata Tiago EV,Hatchback,2023,1205,Active,2024-05-24,24,40.9,85,24.9,343,523,15,False,20,5808,80.4,91.6,20.786056,79.408627,104.8,-0.15,25.1,290,63.8,345.7,Nagpur,21.1458,79.0882,Ahmedabad,23.0225,72.5714,422.4,35,Urban,Low,Hot,0,Charging,CS0091,75,75.83,16.53,AC Level 2,DR0032,110717,20,80.3,0,8,4,6.43,127.48,3314.48,161.39,85.7,345,4258.39,Brake Inspection,2023-01-03 19:00:00,Tuesday,January
USR0033,driver033@fleetev.in,Driver,Active,True,2022-12-31 22:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00033,IN11049999,MH95EV5905,Mahindra,Mahindra XEV 9e,SUV,2020,2100,Charging,2024-04-15,79,14.3,90.9,33.1,393,220,50,True,20,5655,47,88.6,12.674086,80.192383,0.7,2.72,231.3,137,73.4,218.6,Chennai,13.0827,80.2707,Chennai,13.0827,80.2707,494.8,66,Rural,Low,Clear,1,Fully Charged,CS0491,24,51.71,59.38,AC Level 2,DR0033,39029,4,42.6,16,3,10,2.39,564.53,14677.78,552.81,81.2,277,3160.51,Brake Inspection,2023-01-03 22:00:00,Tuesday,January
USR0034,driver034@fleetev.in,Driver,Inactive,True,2023-01-03 22:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00034,IN84252420,MH29EV5462,BMW,BMW i4,Sedan,2024,2050,Active,2024-07-05,83.9,30.9,77.6,28.1,341.2,657,2,True,20,3188,41.7,90.4,12.884234,80.369569,92.1,-2.22,189.1,32,168.5,80.3,Chennai,13.0827,80.2707,Kolkata,22.5726,88.3639,491.7,212,Highway,High,Hot,2,Not Charging,CS0473,0,0,14.6,AC Level 1,DR0034,115111,7,98.9,12,4,10,0.67,146.68,3813.68,126.7,84.4,341,3857.04,Tire Check,2023-01-03 22:00:00,Tuesday,January
USR0035,driver035@fleetev.in,Driver,Inactive,True,2022-12-27 23:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00035,IN45431319,MH74EV9004,Volvo,Volvo XC40 Recharge,SUV,2019,2040,Idle,2024-09-25,78,64.8,89.6,29.6,391.2,486,65,False,20,4812,68.8,88.1,23.379666,76.972523,3,2.59,41.6,131,328.5,382.1,Bhopal,23.2599,77.4126,Chennai,13.0827,80.2707,193.5,106,Rural,Low,Cloudy,2,Not Charging,CS0105,0,0,18.24,Super Charger,DR0035,30778,9,48.1,10,20,1,4.42,199,5174,183.87,82.4,147,6004.41,None,2023-01-03 23:00:00,Tuesday,January
USR0036,driver036@fleetev.in,Driver,Active,False,2022-12-27 00:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00036,IN54769200,MH26EV5291,Tata,Tata Nexon EV,SUV,2023,1570,Active,2024-09-29,30.2,86.2,83.3,26.1,383.1,518,29,False,20,4981,78,93.7,13.217067,79.912232,25.7,1.3,24.1,261,169.2,81.5,Chennai,13.0827,80.2707,Mumbai,19.076,72.8777,110.1,150,Highway,Low,Hot,3,Not Charging,CS0426,0,0,7.15,AC Level 1,DR0036,26267,18,83.5,9,5,6,2.66,55.1,1432.6,64.11,62.4,146,4611.37,Motor Check,2023-01-04 00:00:00,Wednesday,January
USR0037,driver037@fleetev.in,Driver,Active,True,2022-12-05 02:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00037,IN20099059,MH98EV3442,Tata,Tata Tiago EV,Hatchback,2021,1205,Active,2023-12-18,24,87.6,87,43.8,368.8,783,22,False,20,3856,54.3,93.6,22.926642,88.622758,102.9,2.6,246.8,256,136.7,58.9,Kolkata,22.5726,88.3639,Kolkata,22.5726,88.3639,461.6,75,Urban,High,Cloudy,0,Fully Charged,CS0195,118,155.75,7.55,Super Charger,DR0037,41704,14,60,15,6,4,0.36,52.98,1377.48,88.85,93.1,191,3931.63,Brake Inspection,2023-01-04 02:00:00,Wednesday,January
USR0038,driver038@fleetev.in,Driver,Active,True,2022-12-17 04:00:00,MGR002,MGRKEY002859,manager02@fleetev.in,VH00038,IN51373735,MH56EV1653,Tata,Tata Nexon EV,SUV,2024,1570,Idle,2024-03-31,30.2,45.5,93.6,29.6,364.6,155,53,False,20,7249,32.1,98.1,23.511477,77.261179,53.9,0.66,62.3,233,89.3,480.7,Bhopal,23.2599,77.4126,Chandigarh,30.7333,76.7794,357.5,176,Rural,High,Clear,2,Charging,CS0198,108,221.47,8.1,AC Level 1,DR0038,71357,4,77.9,0,20,4,1.18,71.46,1857.96,73.51,84.1,130,1979.32,None,2023-01-04 04:00:00,Wednesday,January
