driver_id,user_id,driver_name,email,phone,role,account_status,email_verified,fleet_manager_id,manager_key_used,manager_email,vehicle_id,vin,registration_number,vehicle_make,vehicle_model,car_type,manufacture_year,vehicle_weight_kg,battery_capacity_kwh,insurance_expiry,driver_experience_years,driver_income,created_at
DR0034,USR0034,Driver_034,driver034@fleetev.in,+918210133979,Driver,Inactive,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00034,IN84252420,MH29EV5462,BMW,BMW i4,Sedan,2024,2050,83.9,2024-07-05,7,115111,2023-01-01
DR0035,USR0035,Driver_035,driver035@fleetev.in,+918078557553,Driver,Inactive,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00035,IN45431319,MH74EV9004,Volvo,Volvo XC40 Recharge,SUV,2019,2040,78,2024-09-25,9,30778,2023-01-01
DR0036,USR0036,Driver_036,driver036@fleetev.in,+917693989311,Driver,Active,False,MGR002,MGRKEY002859,manager02@fleetev.in,VH00036,IN54769200,MH26EV5291,Tata,Tata Nexon EV,SUV,2023,1570,30.2,2024-09-29,18,26267,2023-01-01
DR0037,USR0037,Driver_037,driver037@fleetev.in,+919343292475,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00037,IN20099059,MH98EV3442,Tata,Tata Tiago EV,Hatchback,2021,1205,24,2023-12-18,14,41704,2023-01-01
DR0038,USR0038,Driver_038,driver038@fleetev.in,+918536778950,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00038,IN51373735,MH56EV1653,Tata,Tata Nexon EV,SUV,2024,1570,30.2,2024-03-31,4,71357,2023-01-01
DR0039,USR0039,Driver_039,driver039@fleetev.in,+918016779084,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00039,IN64543049,MH89EV3532,Mahindra,Mahindra XEV 9e,SUV,2020,2100,79,2024-09-14,1,48509,2023-01-01
DR0040,USR0040,Driver_040,driver040@fleetev.in,+918145921803,Driver,Active,True,MGR002,MGRKEY002859,manager02@fleetev.in,VH00040,IN54585178,MH62EV5065,BMW,BMW i4,Sedan,2024,2050,83.9,2023-11-07,13,30075,2023-01-01
DR0041,USR0041,Driver_041,driver041@fleetev.in,+918501771491,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00041,IN39854548,MH35EV8541,BYD,BYD Atto 3,SUV,2020,1750,60.5,2024-03-04,1,111511,2023-01-01
DR0042,USR0042,Driver_042,driver042@fleetev.in,+917298159856,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00042,IN63481198,MH52EV5564,MG,MG ZS EV,SUV,2021,1620,50.3,2024-12-22,13,114065,2023-01-01
DR0043,USR0043,Driver_043,driver043@fleetev.in,+918121910732,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00043,IN54446182,MH13EV2889,Mahindra,Mahindra XEV 9e,SUV,2023,2100,79,2024-04-16,2,39208,2023-01-01
DR0044,USR0044,Driver_044,driver044@fleetev.in,+918874297457,Driver,Inactive,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00044,IN68326160,MH54EV6139,Mahindra,Mahindra BE 6e,Crossover,2022,1980,59,2024-01-30,9,30817,2023-01-01
DR0045,USR0045,Driver_045,driver045@fleetev.in,+919312633708,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00045,IN68526649,MH10EV9518,BMW,BMW i4,Sedan,2021,2050,83.9,2024-10-03,3,112062,2023-01-01
DR0046,USR0046,Driver_046,driver046@fleetev.in,+918289874320,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00046,IN93638503,MH50EV3041,Kia,Kia EV6,Crossover,2024,1960,77.4,2024-09-10,11,77743,2023-01-01
DR0047,USR0047,Driver_047,driver047@fleetev.in,+917823946934,Driver,Active,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00047,IN49682169,MH80EV3085,BMW,BMW i4,Sedan,2024,2050,83.9,2024-08-11,6,105676,2023-01-01
DR0048,USR0048,Driver_048,driver048@fleetev.in,+917001743499,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00048,IN50392808,MH61EV9977,Mahindra,Mahindra BE 6e,Crossover,2021,1980,59,2024-02-20,14,101019,2023-01-01
DR0049,USR0049,Driver_049,driver049@fleetev.in,+918897456484,Driver,Active,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00049,IN97873101,MH51EV8618,Mahindra,Mahindra BE 6e,Crossover,2024,1980,59,2024-02-23,17,87021,2023-01-01
DR0050,USR0050,Driver_050,driver050@fleetev.in,+918218853328,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00050,IN32775593,MH94EV2389,BMW,BMW i4,Sedan,2019,2050,83.9,2024-03-16,10,54444,2023-01-01
DR0051,USR0051,Driver_051,driver051@fleetev.in,+918051590706,Driver,Inactive,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00051,IN29777514,MH13EV1757,MG,MG ZS EV,SUV,2023,1620,50.3,2023-10-02,15,79321,2023-01-01
DR0052,USR0052,Driver_052,driver052@fleetev.in,+919123333781,Driver,Active,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00052,IN87265240,MH34EV7291,Volvo,Volvo XC40 Recharge,SUV,2020,2040,78,2023-12-18,1,38970,2023-01-01
DR0053,USR0053,Driver_053,driver053@fleetev.in,+918995226582,Driver,Inactive,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00053,IN39372360,MH32EV9486,BYD,BYD Seal,Sedan,2023,1885,82.5,2024-03-31,4,84829,2023-01-01
DR0054,USR0054,Driver_054,driver054@fleetev.in,+919400565848,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00054,IN72363359,MH95EV9702,Tata,Tata Tigor EV,Sedan,2022,1255,26,2024-12-17,14,96810,2023-01-01
DR0055,USR0055,Driver_055,driver055@fleetev.in,+918113219231,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00055,IN31361812,MH70EV8373,BYD,BYD Atto 3,SUV,2024,1750,60.5,2024-04-28,17,88517,2023-01-01
DR0056,USR0056,Driver_056,driver056@fleetev.in,+917332788471,Driver,Inactive,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00056,IN42111036,MH45EV8206,Volvo,Volvo XC40 Recharge,SUV,2020,2040,78,2024-04-23,11,66904,2023-01-01
DR0057,USR0057,Driver_057,driver057@fleetev.in,+917993260504,Driver,Active,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00057,IN20814950,MH27EV3471,Mahindra,Mahindra XEV 9e,SUV,2024,2100,79,2023-12-23,7,33418,2023-01-01
DR0058,USR0058,Driver_058,driver058@fleetev.in,+919001129658,Driver,Active,False,MGR003,MGRKEY003328,manager03@fleetev.in,VH00058,IN64707061,MH52EV9890,BYD,BYD Seal,Sedan,2019,1885,82.5,2024-02-16,14,76049,2023-01-01
DR0059,USR0059,Driver_059,driver059@fleetev.in,+919048612358,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00059,IN12621534,MH83EV7232,Mahindra,Mahindra BE 6e,Crossover,2021,1980,59,2024-05-20,13,79921,2023-01-01
DR0060,USR0060,Driver_060,driver060@fleetev.in,+919096929657,Driver,Active,True,MGR003,MGRKEY003328,manager03@fleetev.in,VH00060,IN83300637,MH87EV4613,Mahindra,Mahindra XEV 9e,SUV,2021,2100,79,2024-10-08,16,28804,2023-01-01
DR0061,USR0061,Driver_061,driver061@fleetev.in,+917708861714,Driver,Active,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00061,IN55114543,MH95EV7624,BYD,BYD Seal,Sedan,2020,1885,82.5,2023-08-16,13,102580,2023-01-01
DR0062,USR0062,Driver_062,driver062@fleetev.in,+919760588734,Driver,Active,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00062,IN98986321,MH13EV2375,Mahindra,Mahindra BE 6e,Crossover,2020,1980,59,2024-11-03,6,31590,2023-01-01
DR0063,USR0063,Driver_063,driver063@fleetev.in,+918952918745,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00063,IN60882459,MH51EV4467,Hyundai,Hyundai Kona EV,SUV,2021,1535,39.2,2024-08-11,9,80255,2023-01-01
DR0064,USR0064,Driver_064,driver064@fleetev.in,+919316787198,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00064,IN20993268,MH70EV1317,Hyundai,Hyundai Kona EV,SUV,2021,1535,39.2,2024-03-05,3,110426,2023-01-01
DR0065,USR0065,Driver_065,driver065@fleetev.in,+917087531510,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00065,IN14164775,MH41EV4266,Tata,Tata Nexon EV,SUV,2020,1570,30.2,2023-11-26,16,112747,2023-01-01
DR0066,USR0066,Driver_066,driver066@fleetev.in,+918100558303,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00066,IN85694715,MH37EV8619,Tata,Tata Tiago EV,Hatchback,2020,1205,24,2023-11-14,6,65768,2023-01-01
DR0067,USR0067,Driver_067,driver067@fleetev.in,+919473028098,Driver,Active,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00067,IN87669750,MH13EV6111,Tata,Tata Tiago EV,Hatchback,2022,1205,24,2024-02-08,3,102607,2023-01-01
DR0068,USR0068,Driver_068,driver068@fleetev.in,+919994421136,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00068,IN94187049,MH41EV2669,BMW,BMW i4,Sedan,2024,2050,83.9,2023-11-20,19,30383,2023-01-01
DR0069,USR0069,Driver_069,driver069@fleetev.in,+917296166921,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00069,IN81503856,MH64EV7071,Kia,Kia EV6,Crossover,2019,1960,77.4,2024-09-22,16,38833,2023-01-01
DR0070,USR0070,Driver_070,driver070@fleetev.in,+917657091982,Driver,Suspended,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00070,IN58612055,MH91EV8532,BYD,BYD Seal,Sedan,2020,1885,82.5,2024-04-21,20,95539,2023-01-01
DR0071,USR0071,Driver_071,driver071@fleetev.in,+918384287616,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00071,IN72394301,MH65EV5397,BYD,BYD Atto 3,SUV,2019,1750,60.5,2024-04-30,15,56963,2023-01-01
DR0072,USR0072,Driver_072,driver072@fleetev.in,+918444812497,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00072,IN86483924,MH88EV7209,BYD,BYD Atto 3,SUV,2022,1750,60.5,2024-06-16,6,88904,2023-01-01
DR0073,USR0073,Driver_073,driver073@fleetev.in,+918201124041,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00073,IN57623800,MH43EV6576,MG,MG ZS EV,SUV,2023,1620,50.3,2023-07-30,17,50042,2023-01-01
DR0074,USR0074,Driver_074,driver074@fleetev.in,+919384463652,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00074,IN42394260,MH62EV9004,Tata,Tata Tiago EV,Hatchback,2024,1205,24,2024-11-18,16,83743,2023-01-01
DR0075,USR0075,Driver_075,driver075@fleetev.in,+918736889606,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00075,IN22489409,MH47EV4630,Tata,Tata Nexon EV,SUV,2021,1570,30.2,2024-07-31,16,97544,2023-01-01
DR0076,USR0076,Driver_076,driver076@fleetev.in,+918511014697,Driver,Active,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00076,IN56138336,MH64EV6419,Mahindra,Mahindra XEV 9e,SUV,2021,2100,79,2024-05-28,9,55217,2023-01-01
DR0077,USR0077,Driver_077,driver077@fleetev.in,+919301518177,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00077,IN35848226,MH50EV2958,Tata,Tata Tiago EV,Hatchback,2020,1205,24,2024-02-26,16,61241,2023-01-01
DR0078,USR0078,Driver_078,driver078@fleetev.in,+917431756350,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00078,IN89133014,MH77EV5636,BMW,BMW i4,Sedan,2021,2050,83.9,2024-03-08,12,48519,2023-01-01
DR0079,USR0079,Driver_079,driver079@fleetev.in,+918178158203,Driver,Active,True,MGR004,MGRKEY004792,manager04@fleetev.in,VH00079,IN11898961,MH78EV3073,Hyundai,Hyundai Kona EV,SUV,2019,1535,39.2,2024-05-14,5,108606,2023-01-01
DR0080,USR0080,Driver_080,driver080@fleetev.in,+919016044512,Driver,Active,False,MGR004,MGRKEY004792,manager04@fleetev.in,VH00080,IN23769080,MH11EV5658,BYD,BYD Atto 3,SUV,2022,1750,60.5,2024-07-02,6,31734,2023-01-01
DR0081,USR0081,Driver_081,driver081@fleetev.in,+918721025347,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00081,IN74119726,MH24EV2070,Hyundai,Hyundai Kona EV,SUV,2019,1535,39.2,2023-09-12,5,44555,2023-01-01
DR0082,USR0082,Driver_082,driver082@fleetev.in,+917508745584,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00082,IN50780112,MH20EV5066,Mahindra,Mahindra BE 6e,Crossover,2023,1980,59,2024-03-07,17,74856,2023-01-01
DR0083,USR0083,Driver_083,driver083@fleetev.in,+918311598149,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00083,IN69421007,MH48EV8025,BYD,BYD Atto 3,SUV,2023,1750,60.5,2023-10-29,7,106987,2023-01-01
DR0084,USR0084,Driver_084,driver084@fleetev.in,+917674555072,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00084,IN45520201,MH94EV2330,MG,MG ZS EV,SUV,2020,1620,50.3,2023-10-04,6,25350,2023-01-01
DR0085,USR0085,Driver_085,driver085@fleetev.in,+918250949136,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00085,IN70465583,MH98EV8699,BYD,BYD Seal,Sedan,2020,1885,82.5,2024-05-10,10,117141,2023-01-01
DR0086,USR0086,Driver_086,driver086@fleetev.in,+918136253459,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00086,IN19553585,MH97EV4824,BYD,BYD Atto 3,SUV,2022,1750,60.5,2023-11-14,18,54466,2023-01-01
DR0087,USR0087,Driver_087,driver087@fleetev.in,+917306702926,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00087,IN29997018,MH44EV3330,Volvo,Volvo XC40 Recharge,SUV,2020,2040,78,2024-05-29,20,99607,2023-01-01
DR0088,USR0088,Driver_088,driver088@fleetev.in,+919957849462,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00088,IN68942178,MH25EV8679,Hyundai,Hyundai Kona EV,SUV,2024,1535,39.2,2024-09-04,9,90597,2023-01-01
DR0089,USR0089,Driver_089,driver089@fleetev.in,+919568547910,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00089,IN76276072,MH66EV2317,Mahindra,Mahindra XEV 9e,SUV,2022,2100,79,2024-06-14,20,57816,2023-01-01
DR0090,USR0090,Driver_090,driver090@fleetev.in,+919887427412,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00090,IN22257687,MH39EV1339,Tata,Tata Nexon EV,SUV,2023,1570,30.2,2023-08-30,6,86669,2023-01-01
DR0091,USR0091,Driver_091,driver091@fleetev.in,+917779489931,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00091,IN97444123,MH66EV5557,Mahindra,Mahindra XEV 9e,SUV,2024,2100,79,2024-12-04,3,86605,2023-01-01
DR0092,USR0092,Driver_092,driver092@fleetev.in,+919878201524,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00092,IN64807553,MH52EV6260,Kia,Kia EV6,Crossover,2020,1960,77.4,2024-06-21,14,115921,2023-01-01
DR0093,USR0093,Driver_093,driver093@fleetev.in,+919362646960,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00093,IN48683937,MH94EV7561,BYD,BYD Atto 3,SUV,2022,1750,60.5,2023-10-18,11,58082,2023-01-01
DR0094,USR0094,Driver_094,driver094@fleetev.in,+917004943787,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00094,IN25558733,MH61EV9431,Kia,Kia EV6,Crossover,2022,1960,77.4,2023-09-13,7,92952,2023-01-01
DR0095,USR0095,Driver_095,driver095@fleetev.in,+917221670908,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00095,IN93568503,MH73EV8242,Kia,Kia EV6,Crossover,2021,1960,77.4,2023-12-01,10,82424,2023-01-01
DR0096,USR0096,Driver_096,driver096@fleetev.in,+919705925058,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00096,IN75056916,MH25EV1472,BMW,BMW i4,Sedan,2024,2050,83.9,2023-12-29,10,97199,2023-01-01
DR0097,USR0097,Driver_097,driver097@fleetev.in,+917965081954,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00097,IN84121929,MH62EV2527,Tata,Tata Nexon EV,SUV,2022,1570,30.2,2023-11-17,5,90323,2023-01-01
DR0098,USR0098,Driver_098,driver098@fleetev.in,+918784517419,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00098,IN49172995,MH75EV5479,BMW,BMW i4,Sedan,2022,2050,83.9,2024-03-25,15,97255,2023-01-01
DR0099,USR0099,Driver_099,driver099@fleetev.in,+917586298866,Driver,Active,True,MGR005,MGRKEY005189,manager05@fleetev.in,VH00099,IN61484043,MH34EV9327,Tata,Tata Tigor EV,Sedan,2021,1255,26,2024-09-16,11,91550,2023-01-01
DR0100,USR0100,Driver_100,driver100@fleetev.in,+919520878317,Driver,Active,False,MGR005,MGRKEY005189,manager05@fleetev.in,VH00100,IN10344303,MH46EV5891,Hyundai,Hyundai Kona EV,SUV,2020,1535,39.2,2024-10-19,18,88483,2023-01-01
DR0101,USR0101,Driver_101,driver101@fleetev.in,+918620104855,Driver,Active,False,MGR006,MGRKEY006132,manager06@fleetev.in,VH00101,IN54619335,MH80EV9903,Kia,Kia EV6,Crossover,2021,1960,77.4,2024-01-29,8,99946,2023-01-01
DR0102,USR0102,Driver_102,driver102@fleetev.in,+918366556920,Driver,Active,False,MGR006,MGRKEY006132,manager06@fleetev.in,VH00102,IN41348220,MH62EV1715,BYD,BYD Seal,Sedan,2024,1885,82.5,2024-08-13,13,111991,2023-01-01
DR0103,USR0103,Driver_103,driver103@fleetev.in,+917542223599,Driver,Active,True,MGR006,MGRKEY006132,manager06@fleetev.in,VH00103,IN30415230,MH73EV1606,Volvo,Volvo XC40 Recharge,SUV,2019,2040,78,2024-10-12,4,93937,2023-01-01
